Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
68,Wednesday Jun 11,boxscore,PHI,,CHC,W,7,2,,39-29,2,5.0,Luzardo,Brown,,2:33,D,42660,1.27,+,
69,Friday Jun 13,boxscore,PHI,,TOR,W,8,0,,40-29,2,4.5,Suarez,Gausman,,2:29,N,40596,1.17,++,
70,Saturday Jun 14,boxscore,PHI,,TOR,W,3,2,,41-29,2,3.5,Kerkering,Green,Strahm,2:34,D,43711,1.25,+++,
71,Sunday Jun 15,boxscore,PHI,,TOR,W,11,4,,42-29,2,2.5,Wheeler,Berríos,,3:00,D,44681,1.24,++++,
72,Monday Jun 16,boxscore,PHI,@,MIA,W,5,2,,43-29,2,2.0,Abel,Alcantara,Kerkering,2:51,N,9898,1.27,+++++,
73,Tuesday Jun 17,boxscore,PHI,@,MIA,L,3,8,,43-30,2,2.0,Tarnok,Luzardo,,2:44,N,8300,1.26,-,
74,Wednesday Jun 18,boxscore,PHI,@,MIA,W,4,2,,44-30,2,1.0,Suarez,Mazur,Strahm,2:35,N,9570,1.28,+,
75,Thursday Jun 19,boxscore,PHI,@,MIA,W,2,1,,45-30,1,Tied,Sánchez,Bender,Kerkering,2:11,N,10411,1.32,++,
76,Friday Jun 20,boxscore,PHI,,NYM,W,10,2,,46-30,1,up 1.0,Banks,Garrett,,2:59,N,44432,1.70,+++,
77,Saturday Jun 21,boxscore,PHI,,NYM,L,4,11,,46-31,1,Tied,Canning,Abel,,3:17,N,44687,1.66,-,
78,Sunday Jun 22,boxscore,PHI,,NYM,W,7,1,,47-31,1,up 1.0,Luzardo,Peterson,,2:36,N,42155,1.72,+,
79,Tuesday Jun 24,boxscore,PHI,@,HOU,L,0,1,,47-32,1,up 1.5,Abreu,Suarez,Hader,2:11,N,31245,1.35,-,
80,Wednesday Jun 25,boxscore,PHI,@,HOU,L,0,2,,47-33,1,up 0.5,Gordon,Wheeler,Hader,2:26,N,28826,1.38,--,
81,Thursday Jun 26,boxscore,PHI,@,HOU,L,1,2,,47-34,2,0.5,Abreu,Kerkering,,2:30,D,37130,1.39,---,
82,Friday Jun 27,boxscore,PHI,@,ATL,W,13,0,,48-34,1,up 0.5,Walker,Elder,Rangel,2:49,N,40753,1.41,+,
83,Saturday Jun 28,boxscore,PHI,@,ATL,L,1,6,,48-35,1,up 0.5,Schwellenbach,Luzardo,,2:27,N,41751,1.45,-,
84,Sunday Jun 29,boxscore,PHI,@,ATL,W,2,1,,49-35,1,up 1.5,Suarez,Strider,Strahm,2:18,D,35792,1.49,+,
85,Monday Jun 30,boxscore,PHI,,SDP,W,4,0,,50-35,1,up 2.0,Wheeler,Waldron,,2:26,N,43138,1.48,++,
