Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-09-13,W,8,6,1,2,1,0,KCR,,43326
2025-09-14,L,3,10,0,-7,1,0,KCR,,42513
2025-09-15,W,6,5,1,1,0,0,LAD,10.0,43602
2025-09-16,W,9,6,1,3,0,0,LAD,,44063
2025-09-17,L,0,5,0,-5,0,0,LAD,,50859
2025-09-19,W,8,2,1,6,0,0,ARI,,36981
2025-09-20,L,3,4,0,-1,0,0,ARI,,35498
2025-09-21,L,2,9,0,-7,0,0,ARI,,37105
2025-09-23,L,5,6,0,-1,1,0,MIA,11.0,38041
2025-09-24,W,11,1,1,10,1,0,MIA,,36816
2025-09-25,W,1,0,1,1,1,0,MIA,,36265
2025-09-26,W,3,1,1,2,1,0,MIN,,40073
2025-09-27,L,0,5,0,-5,1,0,MIN,,40506
2025-09-28,W-wo,2,1,1,1,1,1,MIN,10.0,42637
